"","onset","terminus","tail","head"
"1",7,16,1,1
"2",7,16,1,2
"3",7,16,1,3
"4",7,16,2,1
"5",7,16,2,2
"6",7,16,2,3
"7",7,16,3,1
"8",7,16,3,2
"9",7,16,3,3
"10",2,16,1,1
"11",2,16,1,3
"12",2,16,3,1
"13",2,16,3,3
"14",1,16,1,1
"15",1,16,1,3
"16",1,16,3,1
"17",1,16,3,3
"18",3,16,1,1
"19",11,16,1,1
"20",11,16,1,3
"21",11,16,3,1
"22",11,16,3,3
"23",2,16,1,1
"24",15,16,1,1
"25",15,16,1,2
"26",15,16,1,3
"27",15,16,2,1
"28",15,16,2,2
"29",15,16,2,3
"30",15,16,3,1
"31",15,16,3,2
"32",15,16,3,3
"33",9,16,1,1
"34",2,16,1,1
"35",2,16,1,3
"36",2,16,3,1
"37",2,16,3,3
"38",12,16,1,1
"39",12,16,1,1
"40",12,16,1,3
"41",12,16,3,1
"42",12,16,3,3
"43",3,16,1,1
"44",3,16,1,3
"45",3,16,3,1
"46",3,16,3,3
"47",1,16,1,1
"48",6,16,1,1
"49",6,16,1,2
"50",6,16,2,1
"51",6,16,2,2
"52",2,16,1,1
"53",1,16,1,1
"54",2,16,1,1
"55",7,16,1,1
"56",7,16,1,1
"57",7,16,1,3
"58",7,16,3,1
"59",7,16,3,3
"60",7,16,1,1
"61",7,16,1,3
"62",7,16,3,1
"63",7,16,3,3
"64",3,16,1,1
"65",3,16,1,4
"66",3,16,4,1
"67",3,16,4,4
"68",10,16,1,1
"69",7,16,1,1
"70",2,16,1,1
"71",2,16,1,3
"72",2,16,3,1
"73",2,16,3,3
"74",2,16,1,1
"75",12,16,1,1
"76",3,16,1,1
"77",15,16,1,1
"78",3,16,1,1
"79",14,16,1,1
"80",14,16,1,8
"81",14,16,1,9
"82",14,16,1,10
"83",14,16,1,11
"84",14,16,1,12
"85",14,16,8,1
"86",14,16,8,8
"87",14,16,8,9
"88",14,16,8,10
"89",14,16,8,11
"90",14,16,8,12
"91",14,16,9,1
"92",14,16,9,8
"93",14,16,9,9
"94",14,16,9,10
"95",14,16,9,11
"96",14,16,9,12
"97",14,16,10,1
"98",14,16,10,8
"99",14,16,10,9
"100",14,16,10,10
"101",14,16,10,11
"102",14,16,10,12
"103",14,16,11,1
"104",14,16,11,8
"105",14,16,11,9
"106",14,16,11,10
"107",14,16,11,11
"108",14,16,11,12
"109",14,16,12,1
"110",14,16,12,8
"111",14,16,12,9
"112",14,16,12,10
"113",14,16,12,11
"114",14,16,12,12
"115",12,16,1,1
"116",9,16,1,1
"117",9,16,1,3
"118",9,16,3,1
"119",9,16,3,3
"120",11,16,1,1
"121",13,16,1,1
"122",15,16,1,1
"123",4,16,1,1
"124",13,16,1,1
"125",13,16,1,3
"126",13,16,3,1
"127",13,16,3,3
"128",1,16,1,1
"129",1,16,1,3
"130",1,16,3,1
"131",1,16,3,3
"132",1,16,1,1
"133",15,16,1,1
"134",15,16,1,3
"135",15,16,3,1
"136",15,16,3,3
"137",5,16,1,1
"138",2,16,1,1
"139",11,16,1,1
"140",3,16,1,1
"141",13,16,1,1
"142",13,16,1,13
"143",13,16,1,14
"144",13,16,1,15
"145",13,16,1,16
"146",13,16,1,17
"147",13,16,13,1
"148",13,16,13,13
"149",13,16,13,14
"150",13,16,13,15
"151",13,16,13,16
"152",13,16,13,17
"153",13,16,14,1
"154",13,16,14,13
"155",13,16,14,14
"156",13,16,14,15
"157",13,16,14,16
"158",13,16,14,17
"159",13,16,15,1
"160",13,16,15,13
"161",13,16,15,14
"162",13,16,15,15
"163",13,16,15,16
"164",13,16,15,17
"165",13,16,16,1
"166",13,16,16,13
"167",13,16,16,14
"168",13,16,16,15
"169",13,16,16,16
"170",13,16,16,17
"171",13,16,17,1
"172",13,16,17,13
"173",13,16,17,14
"174",13,16,17,15
"175",13,16,17,16
"176",13,16,17,17
"177",1,16,1,1
"178",15,16,1,1
"179",10,16,1,1
"180",10,16,1,18
"181",10,16,1,19
"182",10,16,1,20
"183",10,16,1,21
"184",10,16,18,1
"185",10,16,18,18
"186",10,16,18,19
"187",10,16,18,20
"188",10,16,18,21
"189",10,16,19,1
"190",10,16,19,18
"191",10,16,19,19
"192",10,16,19,20
"193",10,16,19,21
"194",10,16,20,1
"195",10,16,20,18
"196",10,16,20,19
"197",10,16,20,20
"198",10,16,20,21
"199",10,16,21,1
"200",10,16,21,18
"201",10,16,21,19
"202",10,16,21,20
"203",10,16,21,21
"204",15,16,1,1
"205",15,16,1,2
"206",15,16,1,3
"207",15,16,2,1
"208",15,16,2,2
"209",15,16,2,3
"210",15,16,3,1
"211",15,16,3,2
"212",15,16,3,3
"213",14,16,1,1
"214",14,16,1,3
"215",14,16,3,1
"216",14,16,3,3
"217",13,16,1,1
"218",7,16,1,1
"219",7,16,1,1
"220",7,16,1,1
"221",7,16,1,3
"222",7,16,3,1
"223",7,16,3,3
"224",11,16,1,1
"225",4,16,1,1
"226",13,16,1,1
"227",13,16,1,3
"228",13,16,3,1
"229",13,16,3,3
"230",2,16,1,1
"231",10,16,1,1
"232",11,16,1,1
"233",4,16,1,1
"234",4,16,1,1
"235",3,16,1,1
"236",3,16,1,22
"237",3,16,22,1
"238",3,16,22,22
"239",5,16,1,1
"240",5,16,1,4
"241",5,16,4,1
"242",5,16,4,4
"243",8,16,1,1
"244",3,16,1,1
"245",8,16,1,1
"246",15,16,1,1
"247",7,16,1,1
"248",5,16,1,1
"249",15,16,1,1
"250",15,16,1,1
"251",15,16,1,3
"252",15,16,3,1
"253",15,16,3,3
"254",15,16,1,1
"255",15,16,1,12
"256",15,16,12,1
"257",15,16,12,12
"258",12,16,1,1
"259",2,16,1,1
"260",2,16,1,3
"261",2,16,3,1
"262",2,16,3,3
"263",13,16,1,1
"264",14,16,23,23
"265",15,16,23,23
"266",15,16,23,14
"267",15,16,23,15
"268",15,16,23,24
"269",15,16,23,25
"270",15,16,14,23
"271",15,16,14,14
"272",15,16,14,15
"273",15,16,14,24
"274",15,16,14,25
"275",15,16,15,23
"276",15,16,15,14
"277",15,16,15,15
"278",15,16,15,24
"279",15,16,15,25
"280",15,16,24,23
"281",15,16,24,14
"282",15,16,24,15
"283",15,16,24,24
"284",15,16,24,25
"285",15,16,25,23
"286",15,16,25,14
"287",15,16,25,15
"288",15,16,25,24
"289",15,16,25,25
"290",14,16,23,23
"291",14,16,23,15
"292",14,16,23,16
"293",14,16,15,23
"294",14,16,15,15
"295",14,16,15,16
"296",14,16,16,23
"297",14,16,16,15
"298",14,16,16,16
"299",14,16,23,23
