"","from","to"
"1",1,1
"2",1,2
"3",1,3
"4",2,1
"5",2,2
"6",2,3
"7",3,1
"8",3,2
"9",3,3
"10",1,1
"11",1,3
"12",3,1
"13",3,3
"14",1,1
"15",1,3
"16",3,1
"17",3,3
"18",1,1
"19",1,1
"20",1,3
"21",3,1
"22",3,3
"23",1,1
"24",1,1
"25",1,2
"26",1,3
"27",2,1
"28",2,2
"29",2,3
"30",3,1
"31",3,2
"32",3,3
"33",1,1
"34",1,1
"35",1,3
"36",3,1
"37",3,3
"38",1,1
"39",1,1
"40",1,3
"41",3,1
"42",3,3
"43",1,1
"44",1,3
"45",3,1
"46",3,3
"47",1,1
"48",1,1
"49",1,2
"50",2,1
"51",2,2
"52",1,1
"53",1,1
"54",1,1
"55",1,1
"56",1,1
"57",1,3
"58",3,1
"59",3,3
"60",1,1
"61",1,3
"62",3,1
"63",3,3
"64",1,1
"65",1,4
"66",4,1
"67",4,4
"68",1,1
"69",1,1
"70",1,1
"71",1,3
"72",3,1
"73",3,3
"74",1,1
"75",1,1
"76",1,1
"77",1,1
"78",1,1
"79",1,1
"80",1,8
"81",1,9
"82",1,10
"83",1,11
"84",1,12
"85",8,1
"86",8,8
"87",8,9
"88",8,10
"89",8,11
"90",8,12
"91",9,1
"92",9,8
"93",9,9
"94",9,10
"95",9,11
"96",9,12
"97",10,1
"98",10,8
"99",10,9
"100",10,10
"101",10,11
"102",10,12
"103",11,1
"104",11,8
"105",11,9
"106",11,10
"107",11,11
"108",11,12
"109",12,1
"110",12,8
"111",12,9
"112",12,10
"113",12,11
"114",12,12
"115",1,1
"116",1,1
"117",1,3
"118",3,1
"119",3,3
"120",1,1
"121",1,1
"122",1,1
"123",1,1
"124",1,1
"125",1,3
"126",3,1
"127",3,3
"128",1,1
"129",1,3
"130",3,1
"131",3,3
"132",1,1
"133",1,1
"134",1,3
"135",3,1
"136",3,3
"137",1,1
"138",1,1
"139",1,1
"140",1,1
"141",1,1
"142",1,13
"143",1,14
