"","id","autor","anio"
"1",1,"acosta najarro dwight roberto","2001"
"2",1,"acosta najarro dwight roberto","2010"
"3",1,"acosta najarro dwight roberto","2005"
"4",1,"acosta najarro dwight roberto","2000"
"5",1,"acosta najarro dwight roberto","2004"
"6",1,"acosta najarro dwight roberto","2006"
"7",1,"acosta najarro dwight roberto","2014"
"8",1,"acosta najarro dwight roberto","2005"
"9",1,"acosta najarro dwight roberto","2018"
"10",1,"acosta najarro dwight roberto","2012"
"11",1,"acosta najarro dwight roberto","2005"
"12",1,"acosta najarro dwight roberto","1996"
"13",1,"acosta najarro dwight roberto","2015"
"14",1,"acosta najarro dwight roberto","2015"
"15",1,"acosta najarro dwight roberto","2006"
"16",1,"acosta najarro dwight roberto","2004"
"17",1,"acosta najarro dwight roberto","2009"
"18",1,"acosta najarro dwight roberto","2005"
"19",1,"acosta najarro dwight roberto","2004"
"20",1,"acosta najarro dwight roberto","2002"
"21",1,"acosta najarro dwight roberto","2005"
"22",1,"acosta najarro dwight roberto","2010"
"23",1,"acosta najarro dwight roberto","2010"
"24",1,"acosta najarro dwight roberto","1997"
"25",1,"acosta najarro dwight roberto","2010"
"26",1,"acosta najarro dwight roberto","2006"
"27",1,"acosta najarro dwight roberto","2003"
"28",1,"acosta najarro dwight roberto","2013"
"29",1,"acosta najarro dwight roberto","2010"
"30",1,"acosta najarro dwight roberto","1988"
"31",1,"acosta najarro dwight roberto","2001"
"32",1,"acosta najarro dwight roberto","2005"
"33",1,"acosta najarro dwight roberto","2000"
"34",1,"acosta najarro dwight roberto","2005"
"35",1,"acosta najarro dwight roberto","2003"
"36",1,"acosta najarro dwight roberto","2015"
"37",1,"acosta najarro dwight roberto","2006"
"38",1,"acosta najarro dwight roberto","2018"
"39",1,"acosta najarro dwight roberto","2006"
"40",1,"acosta najarro dwight roberto","2017"
"41",1,"acosta najarro dwight roberto","2001"
"42",1,"acosta najarro dwight roberto","2015"
"43",1,"acosta najarro dwight roberto","2012"
"44",1,"acosta najarro dwight roberto","2014"
"45",1,"acosta najarro dwight roberto","2016"
"46",1,"acosta najarro dwight roberto","2001"
"47",1,"acosta najarro dwight roberto","2018"
"48",1,"acosta najarro dwight roberto","2007"
"49",1,"acosta najarro dwight roberto","2016"
"50",1,"acosta najarro dwight roberto","2004"
"51",1,"acosta najarro dwight roberto","2004"
"52",1,"acosta najarro dwight roberto","2018"
"53",1,"acosta najarro dwight roberto","2008"
"54",1,"acosta najarro dwight roberto","1997"
"55",1,"acosta najarro dwight roberto","2005"
"56",1,"acosta najarro dwight roberto","2014"
"57",1,"acosta najarro dwight roberto","2006"
"58",1,"acosta najarro dwight roberto","2000"
"59",1,"acosta najarro dwight roberto","2002"
"60",1,"acosta najarro dwight roberto","2002"
"61",1,"acosta najarro dwight roberto","1996"
"62",1,"acosta najarro dwight roberto","2016"
"63",1,"acosta najarro dwight roberto","2001"
"64",1,"acosta najarro dwight roberto","2004"
"65",1,"acosta najarro dwight roberto","2018"
"66",1,"acosta najarro dwight roberto","2013"
"67",1,"acosta najarro dwight roberto","2018"
"68",1,"acosta najarro dwight roberto","2017"
"69",1,"acosta najarro dwight roberto","2016"
"70",1,"acosta najarro dwight roberto","2010"
"71",1,"acosta najarro dwight roberto","2010"
"72",1,"acosta najarro dwight roberto","2010"
"73",1,"acosta najarro dwight roberto","2014"
"74",1,"acosta najarro dwight roberto","2007"
"75",1,"acosta najarro dwight roberto","2016"
"76",1,"acosta najarro dwight roberto","2005"
"77",1,"acosta najarro dwight roberto","1997"
"78",1,"acosta najarro dwight roberto","2013"
"79",1,"acosta najarro dwight roberto","2014"
"80",1,"acosta najarro dwight roberto","2007"
"81",1,"acosta najarro dwight roberto","2007"
"82",1,"acosta najarro dwight roberto","1998"
"83",1,"acosta najarro dwight roberto","1998"
"84",1,"acosta najarro dwight roberto","1999"
"85",1,"acosta najarro dwight roberto","2006"
"86",1,"acosta najarro dwight roberto","1997"
"87",1,"acosta najarro dwight roberto","2008"
"88",1,"acosta najarro dwight roberto","2011"
"89",1,"acosta najarro dwight roberto","2006"
"90",1,"acosta najarro dwight roberto","1998"
"91",1,"acosta najarro dwight roberto","2011"
"92",1,"acosta najarro dwight roberto","1999"
"93",1,"acosta najarro dwight roberto","2018"
"94",1,"acosta najarro dwight roberto","2003"
"95",1,"acosta najarro dwight roberto","2010"
"96",1,"acosta najarro dwight roberto","2008"
"97",1,"acosta najarro dwight roberto","1998"
"98",1,"acosta najarro dwight roberto","2018"
"99",1,"acosta najarro dwight roberto","2018"
"100",1,"acosta najarro dwight roberto","2018"
"101",1,"acosta najarro dwight roberto","1996"
"102",1,"acosta najarro dwight roberto","2015"
"103",1,"acosta najarro dwight roberto","1998"
"104",1,"acosta najarro dwight roberto","2000"
"105",1,"acosta najarro dwight roberto","1998"
"106",1,"acosta najarro dwight roberto","2005"
"107",1,"acosta najarro dwight roberto","2016"
"108",1,"acosta najarro dwight roberto","2001"
"109",2,"lopez suarez alejandra","1996"
"110",2,"lopez suarez alejandra","1997"
"111",2,"lopez suarez alejandra","2003"
"112",2,"lopez suarez alejandra","1998"
"113",2,"lopez suarez alejandra","2013"
"114",2,"lopez suarez alejandra","2008"
"115",2,"lopez suarez alejandra","2012"
"116",2,"lopez suarez alejandra","2012"
"117",2,"lopez suarez alejandra","2006"
"118",2,"lopez suarez alejandra","2010"
"119",2,"lopez suarez alejandra","2010"
"120",2,"lopez suarez alejandra","2011"
"121",2,"lopez suarez alejandra","2008"
"122",2,"lopez suarez alejandra","2008"
"123",2,"lopez suarez alejandra","2009"
"124",2,"lopez suarez alejandra","2009"
"125",2,"lopez suarez alejandra","2009"
"126",2,"lopez suarez alejandra","2009"
"127",2,"lopez suarez alejandra","2009"
"128",2,"lopez suarez alejandra","2015"
"129",2,"lopez suarez alejandra","2018"
"130",2,"lopez suarez alejandra","2012"
"131",2,"lopez suarez alejandra","2009"
"132",2,"lopez suarez alejandra","2008"
"133",2,"lopez suarez alejandra","2018"
"134",2,"lopez suarez alejandra","2009"
"135",2,"lopez suarez alejandra","2009"
"136",2,"lopez suarez alejandra","2010"
"137",2,"lopez suarez alejandra","2016"
"138",2,"lopez suarez alejandra","2011"
"139",2,"lopez suarez alejandra","2015"
"140",2,"lopez suarez alejandra","2017"
"141",2,"lopez suarez alejandra","2015"
"142",2,"lopez suarez alejandra","2018"
"143",2,"lopez suarez alejandra","2016"
"144",3,"magaña zavala carlos raul","2006"
"145",3,"magaña zavala carlos raul","2009"
"146",3,"magaña zavala carlos raul","2009"
"147",3,"magaña zavala carlos raul","2014"
"148",3,"magaña zavala carlos raul","2017"
"149",3,"magaña zavala carlos raul","2010"
"150",3,"magaña zavala carlos raul","2007"
"151",3,"magaña zavala carlos raul","2005"
"152",3,"magaña zavala carlos raul","2009"
"153",3,"magaña zavala carlos raul","2007"
"154",3,"magaña zavala carlos raul","2018"
"155",3,"magaña zavala carlos raul","2007"
"156",3,"magaña zavala carlos raul","2007"
"157",3,"magaña zavala carlos raul","2012"
"158",3,"magaña zavala carlos raul","2018"
"159",3,"magaña zavala carlos raul","2005"
"160",3,"magaña zavala carlos raul","2015"
"161",3,"magaña zavala carlos raul","2010"
"162",3,"magaña zavala carlos raul","2004"
"163",3,"magaña zavala carlos raul","2006"
"164",3,"magaña zavala carlos raul","2018"
"165",3,"magaña zavala carlos raul","2009"
"166",3,"magaña zavala carlos raul","2011"
"167",3,"magaña zavala carlos raul","2018"
"168",3,"magaña zavala carlos raul","2010"
"169",3,"magaña zavala carlos raul","2011"
"170",3,"magaña zavala carlos raul","2016"
"171",3,"magaña zavala carlos raul","2016"
"172",3,"magaña zavala carlos raul","2010"
"173",3,"magaña zavala carlos raul","2005"
"174",3,"magaña zavala carlos raul","2004"
"175",3,"magaña zavala carlos raul","2007"
"176",3,"magaña zavala carlos raul","2005"
"177",3,"magaña zavala carlos raul","2010"
"178",3,"magaña zavala carlos raul","2006"
"179",4,"perez ramirez j. guadalupe","1997"
"180",4,"perez ramirez j. guadalupe","1998"
"181",4,"perez ramirez j. guadalupe","1998"
"182",4,"perez ramirez j. guadalupe","1986"
"183",4,"perez ramirez j. guadalupe","1999"
"184",4,"perez ramirez j. guadalupe","1988"
"185",4,"perez ramirez j. guadalupe","1988"
"186",4,"perez ramirez j. guadalupe","1999"
"187",4,"perez ramirez j. guadalupe","2000"
"188",4,"perez ramirez j. guadalupe","2005"
"189",4,"perez ramirez j. guadalupe","2009"
"190",4,"perez ramirez j. guadalupe","2005"
"191",4,"perez ramirez j. guadalupe","2001"
"192",4,"perez ramirez j. guadalupe","2001"
"193",4,"perez ramirez j. guadalupe","2001"
"194",4,"perez ramirez j. guadalupe","2005"
"195",4,"perez ramirez j. guadalupe","1996"
"196",4,"perez ramirez j. guadalupe","1996"
"197",4,"perez ramirez j. guadalupe","2001"
"198",4,"perez ramirez j. guadalupe","1996"
"199",4,"perez ramirez j. guadalupe","1996"
"200",4,"perez ramirez j. guadalupe","2002"
"201",4,"perez ramirez j. guadalupe","2002"
"202",4,"perez ramirez j. guadalupe","1996"
"203",4,"perez ramirez j. guadalupe","2002"
"204",4,"perez ramirez j. guadalupe","2002"
"205",4,"perez ramirez j. guadalupe","1997"
"206",4,"perez ramirez j. guadalupe","1997"
"207",4,"perez ramirez j. guadalupe","1997"
"208",4,"perez ramirez j. guadalupe","1997"
"209",4,"perez ramirez j. guadalupe","1997"
"210",4,"perez ramirez j. guadalupe","1997"
"211",4,"perez ramirez j. guadalupe","2007"
"212",4,"perez ramirez j. guadalupe","2007"
"213",4,"perez ramirez j. guadalupe","1997"
"214",4,"perez ramirez j. guadalupe","2003"
"215",4,"perez ramirez j. guadalupe","2007"
"216",4,"perez ramirez j. guadalupe","2013"
"217",4,"perez ramirez j. guadalupe","1998"
"218",4,"perez ramirez j. guadalupe","2010"
"219",4,"perez ramirez j. guadalupe","2010"
"220",4,"perez ramirez j. guadalupe","2003"
"221",4,"perez ramirez j. guadalupe","1999"
"222",4,"perez ramirez j. guadalupe","1999"
"223",4,"perez ramirez j. guadalupe","1999"
"224",4,"perez ramirez j. guadalupe","2004"
"225",4,"perez ramirez j. guadalupe","1999"
