"","tail","head","onset","terminus","onset.censored","terminus.censored","duration","id.edge"
"1",1,1,7,16,FALSE,FALSE,9,1
"2",1,2,7,16,FALSE,FALSE,9,2
"3",1,3,7,16,FALSE,FALSE,9,3
"4",2,1,7,16,FALSE,FALSE,9,4
"5",2,2,7,16,FALSE,FALSE,9,5
"6",2,3,7,16,FALSE,FALSE,9,6
"7",3,1,7,16,FALSE,FALSE,9,7
"8",3,2,7,16,FALSE,FALSE,9,8
"9",3,3,7,16,FALSE,FALSE,9,9
"10",1,1,2,16,FALSE,FALSE,14,10
"11",1,3,2,16,FALSE,FALSE,14,11
"12",3,1,2,16,FALSE,FALSE,14,12
"13",3,3,2,16,FALSE,FALSE,14,13
"14",1,1,1,16,FALSE,FALSE,15,14
"15",1,3,1,16,FALSE,FALSE,15,15
"16",3,1,1,16,FALSE,FALSE,15,16
"17",3,3,1,16,FALSE,FALSE,15,17
"18",1,1,3,16,FALSE,FALSE,13,18
"19",1,1,11,16,FALSE,FALSE,5,19
"20",1,3,11,16,FALSE,FALSE,5,20
"21",3,1,11,16,FALSE,FALSE,5,21
"22",3,3,11,16,FALSE,FALSE,5,22
"23",1,1,2,16,FALSE,FALSE,14,23
"24",1,1,15,16,TRUE,FALSE,1,24
"25",1,2,15,16,TRUE,FALSE,1,25
"26",1,3,15,16,TRUE,FALSE,1,26
"27",2,1,15,16,TRUE,FALSE,1,27
"28",2,2,15,16,TRUE,FALSE,1,28
"29",2,3,15,16,TRUE,FALSE,1,29
"30",3,1,15,16,TRUE,FALSE,1,30
"31",3,2,15,16,TRUE,FALSE,1,31
"32",3,3,15,16,TRUE,FALSE,1,32
"33",1,1,9,16,FALSE,FALSE,7,33
"34",1,1,2,16,FALSE,FALSE,14,34
"35",1,3,2,16,FALSE,FALSE,14,35
"36",3,1,2,16,FALSE,FALSE,14,36
"37",3,3,2,16,FALSE,FALSE,14,37
"38",1,1,12,16,FALSE,FALSE,4,38
"39",1,1,12,16,FALSE,FALSE,4,39
"40",1,3,12,16,FALSE,FALSE,4,40
"41",3,1,12,16,FALSE,FALSE,4,41
"42",3,3,12,16,FALSE,FALSE,4,42
"43",1,1,3,16,FALSE,FALSE,13,43
"44",1,3,3,16,FALSE,FALSE,13,44
"45",3,1,3,16,FALSE,FALSE,13,45
"46",3,3,3,16,FALSE,FALSE,13,46
"47",1,1,1,16,FALSE,FALSE,15,47
"48",1,1,6,16,FALSE,FALSE,10,48
"49",1,2,6,16,FALSE,FALSE,10,49
"50",2,1,6,16,FALSE,FALSE,10,50
"51",2,2,6,16,FALSE,FALSE,10,51
"52",1,1,2,16,FALSE,FALSE,14,52
"53",1,1,1,16,FALSE,FALSE,15,53
"54",1,1,2,16,FALSE,FALSE,14,54
"55",1,1,7,16,FALSE,FALSE,9,55
"56",1,1,7,16,FALSE,FALSE,9,56
"57",1,3,7,16,FALSE,FALSE,9,57
"58",3,1,7,16,FALSE,FALSE,9,58
"59",3,3,7,16,FALSE,FALSE,9,59
"60",1,1,7,16,FALSE,FALSE,9,60
"61",1,3,7,16,FALSE,FALSE,9,61
"62",3,1,7,16,FALSE,FALSE,9,62
"63",3,3,7,16,FALSE,FALSE,9,63
"64",1,1,3,16,FALSE,FALSE,13,64
"65",1,4,3,16,FALSE,FALSE,13,65
"66",4,1,3,16,FALSE,FALSE,13,66
"67",4,4,3,16,FALSE,FALSE,13,67
"68",1,1,10,16,FALSE,FALSE,6,68
"69",1,1,7,16,FALSE,FALSE,9,69
"70",1,1,2,16,FALSE,FALSE,14,70
"71",1,3,2,16,FALSE,FALSE,14,71
"72",3,1,2,16,FALSE,FALSE,14,72
"73",3,3,2,16,FALSE,FALSE,14,73
"74",1,1,2,16,FALSE,FALSE,14,74
"75",1,1,12,16,FALSE,FALSE,4,75
"76",1,1,3,16,FALSE,FALSE,13,76
"77",1,1,15,16,TRUE,FALSE,1,77
"78",1,1,3,16,FALSE,FALSE,13,78
"79",1,1,14,16,FALSE,FALSE,2,79
"80",1,8,14,16,FALSE,FALSE,2,80
"81",1,9,14,16,FALSE,FALSE,2,81
"82",1,10,14,16,FALSE,FALSE,2,82
"83",1,11,14,16,FALSE,FALSE,2,83
"84",1,12,14,16,FALSE,FALSE,2,84
"85",8,1,14,16,FALSE,FALSE,2,85
"86",8,8,14,16,FALSE,FALSE,2,86
"87",8,9,14,16,FALSE,FALSE,2,87
"88",8,10,14,16,FALSE,FALSE,2,88
"89",8,11,14,16,FALSE,FALSE,2,89
"90",8,12,14,16,FALSE,FALSE,2,90
"91",9,1,14,16,FALSE,FALSE,2,91
"92",9,8,14,16,FALSE,FALSE,2,92
"93",9,9,14,16,FALSE,FALSE,2,93
"94",9,10,14,16,FALSE,FALSE,2,94
"95",9,11,14,16,FALSE,FALSE,2,95
"96",9,12,14,16,FALSE,FALSE,2,96
"97",10,1,14,16,FALSE,FALSE,2,97
"98",10,8,14,16,FALSE,FALSE,2,98
"99",10,9,14,16,FALSE,FALSE,2,99
"100",10,10,14,16,FALSE,FALSE,2,100
"101",10,11,14,16,FALSE,FALSE,2,101
"102",10,12,14,16,FALSE,FALSE,2,102
"103",11,1,14,16,FALSE,FALSE,2,103
"104",11,8,14,16,FALSE,FALSE,2,104
"105",11,9,14,16,FALSE,FALSE,2,105
